ID,County,Income_average,Price_Home_average,Home_Price,Address,State,Inf_rate
1,Montgomery,111812,599000,702500,8159 Tompkins st,MD,6.6
2,Montgomery,111812,599000,675500,8154 Tompkins st,MD,6.6
3,Montgomery,111812,599000,654330,8156 Tompkins st,MD,6.6
4,Montgomery,111812,599000,414800,22014 Plover st,MD,6.6
5,Montgomery,111812,599000,646710,8152 Tompkins st,MD,6.6
5,Loudoun,141111,725000,1505735,22566 Hillside ct,VA,6.6
6,Loudoun,141111,725000,1650000,22609 Hillside ct,VA,6.6
7,Loudon,141111,725000,1414722,24974 First Harvest ct,VA,6.6
8,Loudon,141111,725000,1420000,22600 Hillside ct,VA,6.6
9,Loudon,141111,725000,1005000,22562 Hillside ct,VA,6.6
8,Cecil,79514,339000,799275,122 Steamboat ct,MD,6.6
9,Cecil,79415,339000,511488,111 Sebastian Traditional,MD,6.6
10,Cecil,79415,339000,472900,120 Steamboat ct,MD,6.6
11,Cecil,79415,339000,510000,172 Steamboat ct,MD,6.6
12,Cecil,79415,339000,560000,153 Steamboat ct,MD,6.6
13,Howard,124042,575000,799990,4069 Dorsey Ridge,MD,6.6
14,Howard,124042,575000,689990,3917 Cooks lane,MD,6.6
15,Howard,124042,575000,674990,4200 Bethel Overlook,MD,6.6
16,Howard,124042,575000,766749,4015 Dorsey Ridge,MD,6.6
17,Howard,124042,575000,624990,4206 Bethel Overlook,MD,6.6
18,Frederick,100685,420000,925500,3099 Desmond Place,MD,6.6
19,Frederick,100685,420000,1063911,10967 Tavern ln,MD,6.6
20,Frederick,100685,420000,759200,4718 Monrovia blvd,MD,6.6
21,Frederick,100685,420000,740000,3260 Thornapple dr,MD,6.6
22,Frederick,100685,420000,1063911,6254 Laneve ct,MD,6.6
23,Frederick,100685,420000,865207,6216 Stonechat ct,MD,6.6
24,Frederick,100685,420000,480000,4319 Shirley rose ct,MD,6.6
25,Prince George,86994,410000,500000,1329 eastern ave,MD,6.6
26,Prince George,86994,410000,500000,1327 eastern ave,MD,6.6
27,Prince George,86994,410000,533745,5507 Vergo rd,MD,6.6
28,Prince George,86994,410000,622900,1304 Cougar Ln,MD,6.6
29,Prince George,86994,410000,618895,207 Bucco reef,MD,6.6
30,Prince George,86994,410000,560245,5500 Hergo rd,MD,6.6
31,Prince George,86994,410000,460000,9033 Waller tree way,MD,6.6
32,Prince George,86994,410000,457921,110 Hawlings river rd,MD,6.6
33,Charles,103678,425000,729661,7464 Sugar Cane,MD,6.6
34,Charles,103678,425000,654056,7468 Sugar Cane,MD,6.6
35,Charles,103678,425000,521800,4460 Shakespeare circle,MD,6.6
36,Charles,103678,425000,666600,7456 Sugar Cane,MD,6.6
37,Charles,103678,425000,792560,7472 Sugar Cane,MD,6.6
38,Fairfax,127866,685000,1161000,8024 George Town pike,VA,6.6
39,Fairfax,127866,685000,942000,7724 Jervis St,VA,6.6
40,Fairfax,127866,685000,734780,5216 Milland st,VA,6.6
41,Fairfax,127866,685000,7880857,952 Mackall farms lane,VA,6.6
42,Fairfax,127866,685000,652588,7403 Estaban pl,VA,6.6